Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2020,September,Melbourne,Charges laid,"8,370"
2020,September,Melbourne,No charges laid,"7,923"
2020,September,Melbourne,Unsolved,"11,114"
2020,September,Melton,Charges laid,"3,331"
2020,September,Melton,No charges laid,"2,015"
2020,September,Melton,Unsolved,"4,955"
2020,September,Mildura,Charges laid,"2,378"
2020,September,Mildura,No charges laid,"1,081"
2020,September,Mildura,Unsolved,"1,589"
2020,September,Mitchell,Charges laid,"1,315"
2020,September,Mitchell,No charges laid,895
2020,September,Mitchell,Unsolved,"1,078"
2020,September,Moira,Charges laid,723
2020,September,Moira,No charges laid,335
2020,September,Moira,Unsolved,635
2020,September,Monash,Charges laid,"2,629"
2020,September,Monash,No charges laid,"2,004"
2020,September,Monash,Unsolved,"5,163"
2020,September,Moonee Valley,Charges laid,"1,858"
2020,September,Moonee Valley,No charges laid,"1,612"
2020,September,Moonee Valley,Unsolved,"3,296"
2020,September,Moorabool,Charges laid,583
2020,September,Moorabool,No charges laid,535
2020,September,Moorabool,Unsolved,859
2020,September,Moreland,Charges laid,"2,916"
2020,September,Moreland,No charges laid,"2,079"
2020,September,Moreland,Unsolved,"6,268"
2020,September,Mornington Peninsula,Charges laid,"2,876"
2020,September,Mornington Peninsula,No charges laid,"2,365"
2020,September,Mornington Peninsula,Unsolved,"3,305"
2020,September,Mount Alexander,Charges laid,371
2020,September,Mount Alexander,No charges laid,141
2020,September,Mount Alexander,Unsolved,297
2020,September,Moyne,Charges laid,208
2020,September,Moyne,No charges laid,130
2020,September,Moyne,Unsolved,189
2020,September,Murrindindi,Charges laid,178
2020,September,Murrindindi,No charges laid,207
2020,September,Murrindindi,Unsolved,273
2020,September,Nillumbik,Charges laid,529
2020,September,Nillumbik,No charges laid,368
2020,September,Nillumbik,Unsolved,713
2020,September,Northern Grampians,Charges laid,314
2020,September,Northern Grampians,No charges laid,251
2020,September,Northern Grampians,Unsolved,216
2020,September,Port Phillip,Charges laid,"2,799"
2020,September,Port Phillip,No charges laid,"2,231"
2020,September,Port Phillip,Unsolved,"5,365"
2020,September,Pyrenees,Charges laid,128
2020,September,Pyrenees,No charges laid,57
2020,September,Pyrenees,Unsolved,202
2020,September,Queenscliffe,Charges laid,12
2020,September,Queenscliffe,No charges laid,17
2020,September,Queenscliffe,Unsolved,75
2020,September,South Gippsland,Charges laid,565
2020,September,South Gippsland,No charges laid,294
2020,September,South Gippsland,Unsolved,461
2020,September,Southern Grampians,Charges laid,410
2020,September,Southern Grampians,No charges laid,196
2020,September,Southern Grampians,Unsolved,260
2020,September,Stonnington,Charges laid,"2,492"
2020,September,Stonnington,No charges laid,"2,133"
2020,September,Stonnington,Unsolved,"4,869"
2020,September,Strathbogie,Charges laid,166
2020,September,Strathbogie,No charges laid,102
2020,September,Strathbogie,Unsolved,199
2020,September,Surf Coast,Charges laid,357
2020,September,Surf Coast,No charges laid,232
2020,September,Surf Coast,Unsolved,538
2020,September,Swan Hill,Charges laid,858
2020,September,Swan Hill,No charges laid,542
2020,September,Swan Hill,Unsolved,440
2020,September,Towong,Charges laid,66
2020,September,Towong,No charges laid,23
2020,September,Towong,Unsolved,75
2020,September,Wangaratta,Charges laid,756
2020,September,Wangaratta,No charges laid,513
2020,September,Wangaratta,Unsolved,492
2020,September,Warrnambool,Charges laid,"1,187"
2020,September,Warrnambool,No charges laid,520
2020,September,Warrnambool,Unsolved,688
2020,September,Wellington,Charges laid,"1,342"
2020,September,Wellington,No charges laid,965
2020,September,Wellington,Unsolved,"1,024"
2020,September,West Wimmera,Charges laid,43
2020,September,West Wimmera,No charges laid,32
2020,September,West Wimmera,Unsolved,50
2020,September,Whitehorse,Charges laid,"2,083"
2020,September,Whitehorse,No charges laid,"1,274"
2020,September,Whitehorse,Unsolved,"3,914"
2020,September,Whittlesea,Charges laid,"4,041"
2020,September,Whittlesea,No charges laid,"3,082"
2020,September,Whittlesea,Unsolved,"5,219"
2020,September,Wodonga,Charges laid,"1,088"
2020,September,Wodonga,No charges laid,604
2020,September,Wodonga,Unsolved,999
2020,September,Wyndham,Charges laid,"4,638"
2020,September,Wyndham,No charges laid,"2,895"
2020,September,Wyndham,Unsolved,"6,375"
2020,September,Yarra,Charges laid,"3,019"
2020,September,Yarra,No charges laid,"2,499"
2020,September,Yarra,Unsolved,"5,901"
2020,September,Yarra Ranges,Charges laid,"2,107"
2020,September,Yarra Ranges,No charges laid,"1,679"
2020,September,Yarra Ranges,Unsolved,"2,605"
2020,September,Yarriambiack,Charges laid,118
2020,September,Yarriambiack,No charges laid,91
2020,September,Yarriambiack,Unsolved,129
2019,September,Alpine,Charges laid,223
2019,September,Alpine,No charges laid,57
2019,September,Alpine,Unsolved,121
2019,September,Ararat,Charges laid,464
2019,September,Ararat,No charges laid,183
2019,September,Ararat,Unsolved,201
2019,September,Ballarat,Charges laid,"3,418"
2019,September,Ballarat,No charges laid,754
2019,September,Ballarat,Unsolved,"4,370"
2019,September,Banyule,Charges laid,"3,318"
2019,September,Banyule,No charges laid,733
2019,September,Banyule,Unsolved,"3,033"
2019,September,Bass Coast,Charges laid,846
2019,September,Bass Coast,No charges laid,327
2019,September,Bass Coast,Unsolved,721
2019,September,Baw Baw,Charges laid,"1,676"
2019,September,Baw Baw,No charges laid,466
2019,September,Baw Baw,Unsolved,"1,437"
2019,September,Bayside,Charges laid,991
2019,September,Bayside,No charges laid,498
2019,September,Bayside,Unsolved,"2,429"
