Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2018,September,Pyrenees,Unsolved,151
2018,September,Queenscliffe,Charges laid,29
2018,September,Queenscliffe,No charges laid,13
2018,September,Queenscliffe,Unsolved,52
2018,September,South Gippsland,Charges laid,509
2018,September,South Gippsland,No charges laid,186
2018,September,South Gippsland,Unsolved,297
2018,September,Southern Grampians,Charges laid,641
2018,September,Southern Grampians,No charges laid,229
2018,September,Southern Grampians,Unsolved,253
2018,September,Stonnington,Charges laid,"2,756"
2018,September,Stonnington,No charges laid,"1,195"
2018,September,Stonnington,Unsolved,"4,287"
2018,September,Strathbogie,Charges laid,207
2018,September,Strathbogie,No charges laid,79
2018,September,Strathbogie,Unsolved,166
2018,September,Surf Coast,Charges laid,270
2018,September,Surf Coast,No charges laid,160
2018,September,Surf Coast,Unsolved,431
2018,September,Swan Hill,Charges laid,"1,142"
2018,September,Swan Hill,No charges laid,269
2018,September,Swan Hill,Unsolved,398
2018,September,Towong,Charges laid,64
2018,September,Towong,No charges laid,28
2018,September,Towong,Unsolved,85
2018,September,Wangaratta,Charges laid,860
2018,September,Wangaratta,No charges laid,419
2018,September,Wangaratta,Unsolved,459
2018,September,Warrnambool,Charges laid,"1,566"
2018,September,Warrnambool,No charges laid,534
2018,September,Warrnambool,Unsolved,634
2018,September,Wellington,Charges laid,"1,319"
2018,September,Wellington,No charges laid,564
2018,September,Wellington,Unsolved,820
2018,September,West Wimmera,Charges laid,45
2018,September,West Wimmera,No charges laid,26
2018,September,West Wimmera,Unsolved,47
2018,September,Whitehorse,Charges laid,"2,163"
2018,September,Whitehorse,No charges laid,654
2018,September,Whitehorse,Unsolved,"3,448"
2018,September,Whittlesea,Charges laid,"4,531"
2018,September,Whittlesea,No charges laid,"1,707"
2018,September,Whittlesea,Unsolved,"5,669"
2018,September,Wodonga,Charges laid,"1,332"
2018,September,Wodonga,No charges laid,302
2018,September,Wodonga,Unsolved,779
2018,September,Wyndham,Charges laid,"4,738"
2018,September,Wyndham,No charges laid,"1,298"
2018,September,Wyndham,Unsolved,"5,127"
2018,September,Yarra,Charges laid,"3,388"
2018,September,Yarra,No charges laid,"1,147"
2018,September,Yarra,Unsolved,"6,808"
2018,September,Yarra Ranges,Charges laid,"2,419"
2018,September,Yarra Ranges,No charges laid,913
2018,September,Yarra Ranges,Unsolved,"2,184"
2018,September,Yarriambiack,Charges laid,155
2018,September,Yarriambiack,No charges laid,64
2018,September,Yarriambiack,Unsolved,132
2017,September,Alpine,Charges laid,149
2017,September,Alpine,No charges laid,70
2017,September,Alpine,Unsolved,75
2017,September,Ararat,Charges laid,525
2017,September,Ararat,No charges laid,162
2017,September,Ararat,Unsolved,238
2017,September,Ballarat,Charges laid,"3,488"
2017,September,Ballarat,No charges laid,847
2017,September,Ballarat,Unsolved,"4,993"
2017,September,Banyule,Charges laid,"3,158"
2017,September,Banyule,No charges laid,677
2017,September,Banyule,Unsolved,"3,624"
2017,September,Bass Coast,Charges laid,"1,003"
2017,September,Bass Coast,No charges laid,364
2017,September,Bass Coast,Unsolved,705
2017,September,Baw Baw,Charges laid,"1,310"
2017,September,Baw Baw,No charges laid,456
2017,September,Baw Baw,Unsolved,999
2017,September,Bayside,Charges laid,"1,058"
2017,September,Bayside,No charges laid,563
2017,September,Bayside,Unsolved,"2,121"
2017,September,Benalla,Charges laid,518
2017,September,Benalla,No charges laid,155
2017,September,Benalla,Unsolved,301
2017,September,Boroondara,Charges laid,"1,695"
2017,September,Boroondara,No charges laid,598
2017,September,Boroondara,Unsolved,"3,966"
2017,September,Brimbank,Charges laid,"5,628"
2017,September,Brimbank,No charges laid,"1,106"
2017,September,Brimbank,Unsolved,"6,565"
2017,September,Buloke,Charges laid,74
2017,September,Buloke,No charges laid,24
2017,September,Buloke,Unsolved,56
2017,September,Campaspe,Charges laid,"1,224"
2017,September,Campaspe,No charges laid,320
2017,September,Campaspe,Unsolved,"1,071"
2017,September,Cardinia,Charges laid,"1,801"
2017,September,Cardinia,No charges laid,674
2017,September,Cardinia,Unsolved,"2,214"
2017,September,Casey,Charges laid,"5,876"
2017,September,Casey,No charges laid,"2,603"
2017,September,Casey,Unsolved,"7,817"
2017,September,Central Goldfields,Charges laid,464
2017,September,Central Goldfields,No charges laid,167
2017,September,Central Goldfields,Unsolved,237
2017,September,Colac-Otway,Charges laid,679
2017,September,Colac-Otway,No charges laid,245
2017,September,Colac-Otway,Unsolved,598
2017,September,Corangamite,Charges laid,399
2017,September,Corangamite,No charges laid,112
2017,September,Corangamite,Unsolved,299
2017,September,Darebin,Charges laid,"4,136"
2017,September,Darebin,No charges laid,995
2017,September,Darebin,Unsolved,"6,815"
2017,September,East Gippsland,Charges laid,"1,449"
2017,September,East Gippsland,No charges laid,682
2017,September,East Gippsland,Unsolved,793
2017,September,Frankston,Charges laid,"5,760"
2017,September,Frankston,No charges laid,"1,565"
2017,September,Frankston,Unsolved,"4,064"
2017,September,Gannawarra,Charges laid,262
2017,September,Gannawarra,No charges laid,81
2017,September,Gannawarra,Unsolved,164
2017,September,Glen Eira,Charges laid,"1,640"
2017,September,Glen Eira,No charges laid,809
2017,September,Glen Eira,Unsolved,"3,102"
2017,September,Glenelg,Charges laid,667
2017,September,Glenelg,No charges laid,180
2017,September,Glenelg,Unsolved,477
2017,September,Golden Plains,Charges laid,207
2017,September,Golden Plains,No charges laid,66
2017,September,Golden Plains,Unsolved,251
2017,September,Greater Bendigo,Charges laid,"3,989"
2017,September,Greater Bendigo,No charges laid,965
2017,September,Greater Bendigo,Unsolved,"2,661"
2017,September,Greater Dandenong,Charges laid,"5,725"
2017,September,Greater Dandenong,No charges laid,"2,201"
2017,September,Greater Dandenong,Unsolved,"6,269"
2017,September,Greater Geelong,Charges laid,"6,751"
2017,September,Greater Geelong,No charges laid,"1,702"
2017,September,Greater Geelong,Unsolved,"8,635"
2017,September,Greater Shepparton,Charges laid,"2,932"
2017,September,Greater Shepparton,No charges laid,883
2017,September,Greater Shepparton,Unsolved,"2,121"
2017,September,Hepburn,Charges laid,241
2017,September,Hepburn,No charges laid,59
2017,September,Hepburn,Unsolved,352
2017,September,Hindmarsh,Charges laid,123
2017,September,Hindmarsh,No charges laid,62
2017,September,Hindmarsh,Unsolved,90
2017,September,Hobsons Bay,Charges laid,"1,981"
2017,September,Hobsons Bay,No charges laid,552
2017,September,Hobsons Bay,Unsolved,"2,406"
2017,September,Horsham,Charges laid,935
2017,September,Horsham,No charges laid,310
2017,September,Horsham,Unsolved,380
2017,September,Hume,Charges laid,"5,704"
2017,September,Hume,No charges laid,"1,933"
2017,September,Hume,Unsolved,"7,814"
2017,September,Indigo,Charges laid,150
2017,September,Indigo,No charges laid,63
2017,September,Indigo,Unsolved,163
2017,September,Kingston,Charges laid,"2,982"
2017,September,Kingston,No charges laid,"1,242"
2017,September,Kingston,Unsolved,"3,794"
2017,September,Knox,Charges laid,"3,629"
2017,September,Knox,No charges laid,"1,051"
2017,September,Knox,Unsolved,"4,231"
2017,September,Latrobe,Charges laid,"5,267"
2017,September,Latrobe,No charges laid,"1,579"
2017,September,Latrobe,Unsolved,"2,686"
2017,September,Loddon,Charges laid,141
2017,September,Loddon,No charges laid,35
2017,September,Loddon,Unsolved,128
2017,September,Macedon Ranges,Charges laid,799
2017,September,Macedon Ranges,No charges laid,215
2017,September,Macedon Ranges,Unsolved,633
2017,September,Manningham,Charges laid,"1,274"
2017,September,Manningham,No charges laid,417
2017,September,Manningham,Unsolved,"2,131"
2017,September,Mansfield,Charges laid,231
2017,September,Mansfield,No charges laid,67
2017,September,Mansfield,Unsolved,228
2017,September,Maribyrnong,Charges laid,"2,254"
2017,September,Maribyrnong,No charges laid,659
2017,September,Maribyrnong,Unsolved,"3,620"
2017,September,Maroondah,Charges laid,"3,037"
2017,September,Maroondah,No charges laid,833
2017,September,Maroondah,Unsolved,"2,693"
2017,September,Melbourne,Charges laid,"10,368"
2017,September,Melbourne,No charges laid,"4,730"
2017,September,Melbourne,Unsolved,"11,515"
2017,September,Melton,Charges laid,"3,288"
2017,September,Melton,No charges laid,725
2017,September,Melton,Unsolved,"4,334"
2017,September,Mildura,Charges laid,"2,401"
2017,September,Mildura,No charges laid,"1,008"
2017,September,Mildura,Unsolved,"1,553"
2017,September,Mitchell,Charges laid,"1,528"
2017,September,Mitchell,No charges laid,586
2017,September,Mitchell,Unsolved,"1,021"
2017,September,Moira,Charges laid,828
2017,September,Moira,No charges laid,258
2017,September,Moira,Unsolved,438
2017,September,Monash,Charges laid,"2,774"
2017,September,Monash,No charges laid,842
2017,September,Monash,Unsolved,"4,832"
2017,September,Moonee Valley,Charges laid,"2,303"
2017,September,Moonee Valley,No charges laid,861
2017,September,Moonee Valley,Unsolved,"3,726"
2017,September,Moorabool,Charges laid,836
2017,September,Moorabool,No charges laid,213
2017,September,Moorabool,Unsolved,827
2017,September,Moreland,Charges laid,"3,205"
2017,September,Moreland,No charges laid,"1,221"
2017,September,Moreland,Unsolved,"6,382"
2017,September,Mornington Peninsula,Charges laid,"3,340"
2017,September,Mornington Peninsula,No charges laid,"1,775"
2017,September,Mornington Peninsula,Unsolved,"3,680"
2017,September,Mount Alexander,Charges laid,402
2017,September,Mount Alexander,No charges laid,127
2017,September,Mount Alexander,Unsolved,284
2017,September,Moyne,Charges laid,209
2017,September,Moyne,No charges laid,88
2017,September,Moyne,Unsolved,218
2017,September,Murrindindi,Charges laid,229
2017,September,Murrindindi,No charges laid,106
2017,September,Murrindindi,Unsolved,208
2017,September,Nillumbik,Charges laid,653
2017,September,Nillumbik,No charges laid,269
2017,September,Nillumbik,Unsolved,"1,103"
2017,September,Northern Grampians,Charges laid,431
2017,September,Northern Grampians,No charges laid,216
2017,September,Northern Grampians,Unsolved,234
2017,September,Port Phillip,Charges laid,"3,041"
2017,September,Port Phillip,No charges laid,"1,251"
2017,September,Port Phillip,Unsolved,"5,629"
2017,September,Pyrenees,Charges laid,122
2017,September,Pyrenees,No charges laid,56
2017,September,Pyrenees,Unsolved,177
2017,September,Queenscliffe,Charges laid,35
2017,September,Queenscliffe,No charges laid,12
2017,September,Queenscliffe,Unsolved,83
2017,September,South Gippsland,Charges laid,573
2017,September,South Gippsland,No charges laid,158
2017,September,South Gippsland,Unsolved,353
2017,September,Southern Grampians,Charges laid,581
2017,September,Southern Grampians,No charges laid,167
2017,September,Southern Grampians,Unsolved,246
2017,September,Stonnington,Charges laid,"2,671"
2017,September,Stonnington,No charges laid,"1,132"
2017,September,Stonnington,Unsolved,"4,276"
2017,September,Strathbogie,Charges laid,204
2017,September,Strathbogie,No charges laid,69
2017,September,Strathbogie,Unsolved,173
2017,September,Surf Coast,Charges laid,312
2017,September,Surf Coast,No charges laid,149
2017,September,Surf Coast,Unsolved,586
2017,September,Swan Hill,Charges laid,"1,025"
2017,September,Swan Hill,No charges laid,346
2017,September,Swan Hill,Unsolved,386
2017,September,Towong,Charges laid,76
2017,September,Towong,No charges laid,33
2017,September,Towong,Unsolved,61
2017,September,Wangaratta,Charges laid,966
2017,September,Wangaratta,No charges laid,388
2017,September,Wangaratta,Unsolved,506
2017,September,Warrnambool,Charges laid,"1,445"
2017,September,Warrnambool,No charges laid,487
2017,September,Warrnambool,Unsolved,761
2017,September,Wellington,Charges laid,"1,354"
2017,September,Wellington,No charges laid,583
2017,September,Wellington,Unsolved,"1,002"
2017,September,West Wimmera,Charges laid,59
2017,September,West Wimmera,No charges laid,32
2017,September,West Wimmera,Unsolved,46
2017,September,Whitehorse,Charges laid,"2,243"
2017,September,Whitehorse,No charges laid,674
2017,September,Whitehorse,Unsolved,"3,734"
2017,September,Whittlesea,Charges laid,"4,165"
2017,September,Whittlesea,No charges laid,"1,398"
2017,September,Whittlesea,Unsolved,"6,068"
2017,September,Wodonga,Charges laid,"1,273"
2017,September,Wodonga,No charges laid,310
2017,September,Wodonga,Unsolved,828
2017,September,Wyndham,Charges laid,"4,375"
2017,September,Wyndham,No charges laid,"1,056"
2017,September,Wyndham,Unsolved,"5,352"
2017,September,Yarra,Charges laid,"3,472"
2017,September,Yarra,No charges laid,"1,142"
2017,September,Yarra,Unsolved,"6,094"
2017,September,Yarra Ranges,Charges laid,"2,779"
2017,September,Yarra Ranges,No charges laid,795
2017,September,Yarra Ranges,Unsolved,"2,275"
2017,September,Yarriambiack,Charges laid,170
2017,September,Yarriambiack,No charges laid,47
2017,September,Yarriambiack,Unsolved,125
2016,September,Alpine,Charges laid,137
2016,September,Alpine,No charges laid,57
2016,September,Alpine,Unsolved,83
2016,September,Ararat,Charges laid,446
2016,September,Ararat,No charges laid,188
2016,September,Ararat,Unsolved,238
2016,September,Ballarat,Charges laid,"3,398"
2016,September,Ballarat,No charges laid,965
2016,September,Ballarat,Unsolved,"4,844"
2016,September,Banyule,Charges laid,"2,566"
2016,September,Banyule,No charges laid,661
2016,September,Banyule,Unsolved,"4,047"
2016,September,Bass Coast,Charges laid,830
2016,September,Bass Coast,No charges laid,426
2016,September,Bass Coast,Unsolved,773
2016,September,Baw Baw,Charges laid,"1,396"
2016,September,Baw Baw,No charges laid,454
2016,September,Baw Baw,Unsolved,"1,041"
2016,September,Bayside,Charges laid,"1,068"
2016,September,Bayside,No charges laid,544
2016,September,Bayside,Unsolved,"2,647"
2016,September,Benalla,Charges laid,495
2016,September,Benalla,No charges laid,183
2016,September,Benalla,Unsolved,311
2016,September,Boroondara,Charges laid,"1,694"
2016,September,Boroondara,No charges laid,642
2016,September,Boroondara,Unsolved,"4,445"
2016,September,Brimbank,Charges laid,"5,955"
2016,September,Brimbank,No charges laid,"1,213"
2016,September,Brimbank,Unsolved,"8,203"
2016,September,Buloke,Charges laid,72
2016,September,Buloke,No charges laid,28
2016,September,Buloke,Unsolved,70
2016,September,Campaspe,Charges laid,"1,266"
2016,September,Campaspe,No charges laid,405
2016,September,Campaspe,Unsolved,"1,094"
2016,September,Cardinia,Charges laid,"1,801"
2016,September,Cardinia,No charges laid,859
2016,September,Cardinia,Unsolved,"2,673"
2016,September,Casey,Charges laid,"5,842"
2016,September,Casey,No charges laid,"2,470"
2016,September,Casey,Unsolved,"9,030"
2016,September,Central Goldfields,Charges laid,531
2016,September,Central Goldfields,No charges laid,158
2016,September,Central Goldfields,Unsolved,290
2016,September,Colac-Otway,Charges laid,630
2016,September,Colac-Otway,No charges laid,231
2016,September,Colac-Otway,Unsolved,452
2016,September,Corangamite,Charges laid,262
2016,September,Corangamite,No charges laid,85
2016,September,Corangamite,Unsolved,286
2016,September,Darebin,Charges laid,"4,176"
2016,September,Darebin,No charges laid,"1,129"
2016,September,Darebin,Unsolved,"7,681"
2016,September,East Gippsland,Charges laid,"1,422"
2016,September,East Gippsland,No charges laid,679
2016,September,East Gippsland,Unsolved,"1,084"
2016,September,Frankston,Charges laid,"5,659"
2016,September,Frankston,No charges laid,"1,501"
2016,September,Frankston,Unsolved,"4,768"
2016,September,Gannawarra,Charges laid,233
2016,September,Gannawarra,No charges laid,81
2016,September,Gannawarra,Unsolved,154
2016,September,Glen Eira,Charges laid,"1,483"
2016,September,Glen Eira,No charges laid,776
2016,September,Glen Eira,Unsolved,"3,319"
2016,September,Glenelg,Charges laid,601
2016,September,Glenelg,No charges laid,191
2016,September,Glenelg,Unsolved,554
2016,September,Golden Plains,Charges laid,172
2016,September,Golden Plains,No charges laid,75
2016,September,Golden Plains,Unsolved,392
2016,September,Greater Bendigo,Charges laid,"3,438"
2016,September,Greater Bendigo,No charges laid,937
2016,September,Greater Bendigo,Unsolved,"2,979"
2016,September,Greater Dandenong,Charges laid,"5,833"
2016,September,Greater Dandenong,No charges laid,"2,172"
2016,September,Greater Dandenong,Unsolved,"7,103"
2016,September,Greater Geelong,Charges laid,"6,301"
2016,September,Greater Geelong,No charges laid,"1,888"
2016,September,Greater Geelong,Unsolved,"10,883"
2016,September,Greater Shepparton,Charges laid,"2,937"
2016,September,Greater Shepparton,No charges laid,857
2016,September,Greater Shepparton,Unsolved,"2,349"
2016,September,Hepburn,Charges laid,216
2016,September,Hepburn,No charges laid,64
2016,September,Hepburn,Unsolved,396
2016,September,Hindmarsh,Charges laid,110
2016,September,Hindmarsh,No charges laid,57
2016,September,Hindmarsh,Unsolved,57
2016,September,Hobsons Bay,Charges laid,"2,054"
2016,September,Hobsons Bay,No charges laid,609
2016,September,Hobsons Bay,Unsolved,"2,822"
2016,September,Horsham,Charges laid,984
2016,September,Horsham,No charges laid,312
2016,September,Horsham,Unsolved,528
2016,September,Hume,Charges laid,"6,060"
2016,September,Hume,No charges laid,"1,863"
2016,September,Hume,Unsolved,"9,115"
2016,September,Indigo,Charges laid,156
2016,September,Indigo,No charges laid,48
2016,September,Indigo,Unsolved,140
2016,September,Kingston,Charges laid,"2,998"
2016,September,Kingston,No charges laid,"1,238"
2016,September,Kingston,Unsolved,"4,235"
2016,September,Knox,Charges laid,"3,015"
2016,September,Knox,No charges laid,"1,058"
2016,September,Knox,Unsolved,"4,455"
2016,September,Latrobe,Charges laid,"5,162"
2016,September,Latrobe,No charges laid,"1,697"
2016,September,Latrobe,Unsolved,"3,237"
2016,September,Loddon,Charges laid,137
2016,September,Loddon,No charges laid,89
2016,September,Loddon,Unsolved,152
2016,September,Macedon Ranges,Charges laid,739
2016,September,Macedon Ranges,No charges laid,202
2016,September,Macedon Ranges,Unsolved,658
2016,September,Manningham,Charges laid,"1,110"
2016,September,Manningham,No charges laid,418
2016,September,Manningham,Unsolved,"2,232"
2016,September,Mansfield,Charges laid,211
2016,September,Mansfield,No charges laid,83
2016,September,Mansfield,Unsolved,172
2016,September,Maribyrnong,Charges laid,"2,784"
2016,September,Maribyrnong,No charges laid,650
2016,September,Maribyrnong,Unsolved,"3,893"
2016,September,Maroondah,Charges laid,"2,933"
2016,September,Maroondah,No charges laid,811
2016,September,Maroondah,Unsolved,"2,731"
2016,September,Melbourne,Charges laid,"10,432"
2016,September,Melbourne,No charges laid,"4,803"
2016,September,Melbourne,Unsolved,"12,073"
2016,September,Melton,Charges laid,"3,280"
2016,September,Melton,No charges laid,715
2016,September,Melton,Unsolved,"5,128"
2016,September,Mildura,Charges laid,"2,251"
2016,September,Mildura,No charges laid,856
2016,September,Mildura,Unsolved,"1,916"
2016,September,Mitchell,Charges laid,"1,338"
2016,September,Mitchell,No charges laid,553
2016,September,Mitchell,Unsolved,"1,217"
2016,September,Moira,Charges laid,586
2016,September,Moira,No charges laid,246
2016,September,Moira,Unsolved,403
2016,September,Monash,Charges laid,"2,590"
2016,September,Monash,No charges laid,859
2016,September,Monash,Unsolved,"5,255"
2016,September,Moonee Valley,Charges laid,"2,274"
2016,September,Moonee Valley,No charges laid,924
2016,September,Moonee Valley,Unsolved,"4,460"
2016,September,Moorabool,Charges laid,801
2016,September,Moorabool,No charges laid,200
2016,September,Moorabool,Unsolved,889
2016,September,Moreland,Charges laid,"3,318"
2016,September,Moreland,No charges laid,"1,111"
2016,September,Moreland,Unsolved,"7,731"
2016,September,Mornington Peninsula,Charges laid,"3,341"
2016,September,Mornington Peninsula,No charges laid,"1,590"
2016,September,Mornington Peninsula,Unsolved,"4,058"
2016,September,Mount Alexander,Charges laid,387
2016,September,Mount Alexander,No charges laid,150
2016,September,Mount Alexander,Unsolved,424
2016,September,Moyne,Charges laid,176
2016,September,Moyne,No charges laid,91
2016,September,Moyne,Unsolved,182
2016,September,Murrindindi,Charges laid,192
2016,September,Murrindindi,No charges laid,113
2016,September,Murrindindi,Unsolved,246
2016,September,Nillumbik,Charges laid,671
2016,September,Nillumbik,No charges laid,255
2016,September,Nillumbik,Unsolved,"1,227"
2016,September,Northern Grampians,Charges laid,462
2016,September,Northern Grampians,No charges laid,197
2016,September,Northern Grampians,Unsolved,260
2016,September,Port Phillip,Charges laid,"2,785"
2016,September,Port Phillip,No charges laid,"1,405"
2016,September,Port Phillip,Unsolved,"6,160"
2016,September,Pyrenees,Charges laid,127
2016,September,Pyrenees,No charges laid,57
2016,September,Pyrenees,Unsolved,216
2016,September,Queenscliffe,Charges laid,36
2016,September,Queenscliffe,No charges laid,9
2016,September,Queenscliffe,Unsolved,115
2016,September,South Gippsland,Charges laid,499
2016,September,South Gippsland,No charges laid,162
2016,September,South Gippsland,Unsolved,381
2016,September,Southern Grampians,Charges laid,524
2016,September,Southern Grampians,No charges laid,177
2016,September,Southern Grampians,Unsolved,259
2016,September,Stonnington,Charges laid,"2,725"
2016,September,Stonnington,No charges laid,"1,067"
2016,September,Stonnington,Unsolved,"5,187"
2016,September,Strathbogie,Charges laid,204
2016,September,Strathbogie,No charges laid,63
2016,September,Strathbogie,Unsolved,195
2016,September,Surf Coast,Charges laid,338
2016,September,Surf Coast,No charges laid,148
2016,September,Surf Coast,Unsolved,686
2016,September,Swan Hill,Charges laid,911
2016,September,Swan Hill,No charges laid,374
2016,September,Swan Hill,Unsolved,381
2016,September,Towong,Charges laid,92
2016,September,Towong,No charges laid,35
2016,September,Towong,Unsolved,63
2016,September,Wangaratta,Charges laid,861
2016,September,Wangaratta,No charges laid,398
2016,September,Wangaratta,Unsolved,505
2016,September,Warrnambool,Charges laid,"1,242"
2016,September,Warrnambool,No charges laid,413
2016,September,Warrnambool,Unsolved,740
2016,September,Wellington,Charges laid,"1,489"
2016,September,Wellington,No charges laid,609
2016,September,Wellington,Unsolved,"1,115"
2016,September,West Wimmera,Charges laid,41
2016,September,West Wimmera,No charges laid,28
2016,September,West Wimmera,Unsolved,42
2016,September,Whitehorse,Charges laid,"1,854"
2016,September,Whitehorse,No charges laid,609
2016,September,Whitehorse,Unsolved,"3,436"
2016,September,Whittlesea,Charges laid,"3,919"
2016,September,Whittlesea,No charges laid,"1,311"
2016,September,Whittlesea,Unsolved,"7,338"
2016,September,Wodonga,Charges laid,"1,302"
2016,September,Wodonga,No charges laid,306
2016,September,Wodonga,Unsolved,893
2016,September,Wyndham,Charges laid,"4,469"
2016,September,Wyndham,No charges laid,"1,092"
2016,September,Wyndham,Unsolved,"7,007"
2016,September,Yarra,Charges laid,"3,523"
2016,September,Yarra,No charges laid,"1,114"
2016,September,Yarra,Unsolved,"6,494"
2016,September,Yarra Ranges,Charges laid,"2,740"
2016,September,Yarra Ranges,No charges laid,899
2016,September,Yarra Ranges,Unsolved,"2,669"
2016,September,Yarriambiack,Charges laid,158
2016,September,Yarriambiack,No charges laid,65
2016,September,Yarriambiack,Unsolved,113
2015,September,Alpine,Charges laid,153
2015,September,Alpine,No charges laid,89
2015,September,Alpine,Unsolved,103
2015,September,Ararat,Charges laid,408
2015,September,Ararat,No charges laid,176
2015,September,Ararat,Unsolved,270
2015,September,Ballarat,Charges laid,"3,118"
2015,September,Ballarat,No charges laid,"1,091"
2015,September,Ballarat,Unsolved,"4,409"
2015,September,Banyule,Charges laid,"2,837"
2015,September,Banyule,No charges laid,"1,081"
2015,September,Banyule,Unsolved,"3,117"
2015,September,Bass Coast,Charges laid,823
2015,September,Bass Coast,No charges laid,423
2015,September,Bass Coast,Unsolved,643
2015,September,Baw Baw,Charges laid,"1,149"
2015,September,Baw Baw,No charges laid,465
2015,September,Baw Baw,Unsolved,782
2015,September,Bayside,Charges laid,884
2015,September,Bayside,No charges laid,537
2015,September,Bayside,Unsolved,"2,002"
2015,September,Benalla,Charges laid,354
2015,September,Benalla,No charges laid,152
2015,September,Benalla,Unsolved,228
2015,September,Boroondara,Charges laid,"1,288"
2015,September,Boroondara,No charges laid,590
2015,September,Boroondara,Unsolved,"3,777"
2015,September,Brimbank,Charges laid,"5,695"
2015,September,Brimbank,No charges laid,"1,217"
2015,September,Brimbank,Unsolved,"7,802"
2015,September,Buloke,Charges laid,61
2015,September,Buloke,No charges laid,34
2015,September,Buloke,Unsolved,104
2015,September,Campaspe,Charges laid,987
2015,September,Campaspe,No charges laid,323
2015,September,Campaspe,Unsolved,"1,007"
2015,September,Cardinia,Charges laid,"1,637"
2015,September,Cardinia,No charges laid,787
2015,September,Cardinia,Unsolved,"1,969"
2015,September,Casey,Charges laid,"5,191"
2015,September,Casey,No charges laid,"2,223"
2015,September,Casey,Unsolved,"7,207"
2015,September,Central Goldfields,Charges laid,434
2015,September,Central Goldfields,No charges laid,154
2015,September,Central Goldfields,Unsolved,246
2015,September,Colac-Otway,Charges laid,479
2015,September,Colac-Otway,No charges laid,221
2015,September,Colac-Otway,Unsolved,427
2015,September,Corangamite,Charges laid,185
2015,September,Corangamite,No charges laid,70
2015,September,Corangamite,Unsolved,203
2015,September,Darebin,Charges laid,"3,446"
2015,September,Darebin,No charges laid,"1,114"
2015,September,Darebin,Unsolved,"6,473"
2015,September,East Gippsland,Charges laid,"1,308"
2015,September,East Gippsland,No charges laid,714
2015,September,East Gippsland,Unsolved,"1,051"
2015,September,Frankston,Charges laid,"5,055"
2015,September,Frankston,No charges laid,"1,800"
2015,September,Frankston,Unsolved,"4,074"
2015,September,Gannawarra,Charges laid,196
2015,September,Gannawarra,No charges laid,83
2015,September,Gannawarra,Unsolved,137
2015,September,Glen Eira,Charges laid,"1,216"
2015,September,Glen Eira,No charges laid,671
2015,September,Glen Eira,Unsolved,"2,855"
2015,September,Glenelg,Charges laid,572
2015,September,Glenelg,No charges laid,214
2015,September,Glenelg,Unsolved,510
2015,September,Golden Plains,Charges laid,144
2015,September,Golden Plains,No charges laid,48
2015,September,Golden Plains,Unsolved,343
2015,September,Greater Bendigo,Charges laid,"2,725"
2015,September,Greater Bendigo,No charges laid,"1,057"
2015,September,Greater Bendigo,Unsolved,"2,414"
2015,September,Greater Dandenong,Charges laid,"5,444"
2015,September,Greater Dandenong,No charges laid,"1,958"
2015,September,Greater Dandenong,Unsolved,"5,752"
2015,September,Greater Geelong,Charges laid,"4,908"
2015,September,Greater Geelong,No charges laid,"2,094"
2015,September,Greater Geelong,Unsolved,"7,887"
2015,September,Greater Shepparton,Charges laid,"2,455"
2015,September,Greater Shepparton,No charges laid,790
2015,September,Greater Shepparton,Unsolved,"2,278"
2015,September,Hepburn,Charges laid,174
2015,September,Hepburn,No charges laid,54
2015,September,Hepburn,Unsolved,324
2015,September,Hindmarsh,Charges laid,75
2015,September,Hindmarsh,No charges laid,35
2015,September,Hindmarsh,Unsolved,37
2015,September,Hobsons Bay,Charges laid,"1,853"
2015,September,Hobsons Bay,No charges laid,623
2015,September,Hobsons Bay,Unsolved,"2,820"
2015,September,Horsham,Charges laid,"1,082"
2015,September,Horsham,No charges laid,368
2015,September,Horsham,Unsolved,508
2015,September,Hume,Charges laid,"5,382"
2015,September,Hume,No charges laid,"1,738"
2015,September,Hume,Unsolved,"7,230"
2015,September,Indigo,Charges laid,119
2015,September,Indigo,No charges laid,54
2015,September,Indigo,Unsolved,175
2015,September,Kingston,Charges laid,"2,844"
2015,September,Kingston,No charges laid,"1,202"
2015,September,Kingston,Unsolved,"3,625"
2015,September,Knox,Charges laid,"2,735"
2015,September,Knox,No charges laid,934
2015,September,Knox,Unsolved,"3,555"
2015,September,Latrobe,Charges laid,"4,460"
2015,September,Latrobe,No charges laid,"1,610"
2015,September,Latrobe,Unsolved,"2,707"
2015,September,Loddon,Charges laid,129
2015,September,Loddon,No charges laid,45
2015,September,Loddon,Unsolved,125
2015,September,Macedon Ranges,Charges laid,581
2015,September,Macedon Ranges,No charges laid,215
2015,September,Macedon Ranges,Unsolved,676
2015,September,Manningham,Charges laid,983
2015,September,Manningham,No charges laid,450
2015,September,Manningham,Unsolved,"1,868"
2015,September,Mansfield,Charges laid,127
2015,September,Mansfield,No charges laid,54
2015,September,Mansfield,Unsolved,139
2015,September,Maribyrnong,Charges laid,"2,298"
2015,September,Maribyrnong,No charges laid,781
2015,September,Maribyrnong,Unsolved,"3,562"
2015,September,Maroondah,Charges laid,"2,477"
2015,September,Maroondah,No charges laid,758
2015,September,Maroondah,Unsolved,"2,649"
