Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2020,September,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,3
2020,September,Alpine,1 Residential,11 Dwelling - private,112 House,110
2020,September,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,5
2020,September,Alpine,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2020,September,Alpine,1 Residential,11 Dwelling - private,117 Farm House,4
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,5
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,5
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,5
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,8
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,5
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,4
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),2
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,27
2020,September,Alpine,2 Community,21 Education,211 School,6
2020,September,Alpine,2 Community,21 Education,212 School Grounds,3
2020,September,Alpine,2 Community,22 Health,221 Hospital,1
2020,September,Alpine,2 Community,22 Health,222 Medical Centre,1
2020,September,Alpine,2 Community,23 Religious,231 Church,2
2020,September,Alpine,2 Community,24 Public Transport,246 Depot/Terminal,1
2020,September,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),3
2020,September,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2020,September,Alpine,2 Community,26 Justice,261 Police Station,2
2020,September,Alpine,2 Community,26 Justice,262 Court,9
2020,September,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,5
2020,September,Alpine,2 Community,27 Open Space,272 Rural,12
2020,September,Alpine,2 Community,27 Open Space,275 Other Open Space,3
2020,September,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,103
2020,September,Alpine,2 Community,29 Other community location,294 Car Wash,1
2020,September,Alpine,3 Other,31 Admin/professional,311 Business Office,2
2020,September,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,7
2020,September,Alpine,3 Other,33 Retail,3312 Other Retail,11
2020,September,Alpine,3 Other,33 Retail,332 Service Station,5
2020,September,Alpine,3 Other,33 Retail,334 2nd Hand Dealer,1
2020,September,Alpine,3 Other,33 Retail,335 Supermarket,13
2020,September,Alpine,3 Other,33 Retail,336 Department Store,2
2020,September,Alpine,3 Other,33 Retail,338 Car Sales Yard,2
2020,September,Alpine,3 Other,36 Manufacturing,361 Factory,1
2020,September,Alpine,3 Other,36 Manufacturing,362 Any Manufacturing,1
2020,September,Alpine,3 Other,37 Agricultural,371 Farmland/Agricultural,9
2020,September,Alpine,3 Other,37 Agricultural,373 Other Agricultural,6
2020,September,Alpine,3 Other,38 Recreational,381 Licenced Premises,5
2020,September,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,2
2020,September,Alpine,3 Other,38 Recreational,386 Other Rec./Sports,5
2020,September,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),11
2020,September,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,31
2020,September,Ararat,1 Residential,11 Dwelling - private,112 House,300
2020,September,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,7
2020,September,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,1
2020,September,Ararat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,3
2020,September,Ararat,1 Residential,11 Dwelling - private,117 Farm House,10
2020,September,Ararat,1 Residential,12 Dwelling  - non-private,121 Boarding House,1
2020,September,Ararat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2020,September,Ararat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,7
2020,September,Ararat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,5
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,132 Backyard,31
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,133 Frontyard,33
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,134 Garage,8
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,135 Shed,14
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),10
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,21
2020,September,Ararat,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,1
2020,September,Ararat,2 Community,21 Education,211 School,3
2020,September,Ararat,2 Community,21 Education,212 School Grounds,2
2020,September,Ararat,2 Community,21 Education,213 Other Educational,3
2020,September,Ararat,2 Community,22 Health,221 Hospital,2
2020,September,Ararat,2 Community,22 Health,222 Medical Centre,1
2020,September,Ararat,2 Community,22 Health,224 Other Health,2
2020,September,Ararat,2 Community,23 Religious,231 Church,1
2020,September,Ararat,2 Community,25 Other Transport,251 Private Car,7
2020,September,Ararat,2 Community,25 Other Transport,255 Carpark (Single Level),14
2020,September,Ararat,2 Community,25 Other Transport,256 Carpark (Multi Level),1
2020,September,Ararat,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2020,September,Ararat,2 Community,26 Justice,261 Police Station,13
2020,September,Ararat,2 Community,26 Justice,262 Court,16
2020,September,Ararat,2 Community,26 Justice,265 Other Justice Facility,2
2020,September,Ararat,2 Community,27 Open Space,271 Parkland/Reserve,20
2020,September,Ararat,2 Community,27 Open Space,272 Rural,13
2020,September,Ararat,2 Community,27 Open Space,273 Vacant Block,1
2020,September,Ararat,2 Community,27 Open Space,275 Other Open Space,8
2020,September,Ararat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,183
2020,September,Ararat,2 Community,29 Other community location,292 Civic Centre,4
2020,September,Ararat,2 Community,29 Other community location,294 Car Wash,1
2020,September,Ararat,3 Other,31 Admin/professional,311 Business Office,1
2020,September,Ararat,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2020,September,Ararat,3 Other,32 Financial,321 Bank,4
2020,September,Ararat,3 Other,33 Retail,331 Chemist/Pharmacy,1
2020,September,Ararat,3 Other,33 Retail,3310 24Hr Convenience,3
2020,September,Ararat,3 Other,33 Retail,3311 Restaurant/Fastfood,6
2020,September,Ararat,3 Other,33 Retail,3312 Other Retail,13
2020,September,Ararat,3 Other,33 Retail,332 Service Station,18
2020,September,Ararat,3 Other,33 Retail,334 2nd Hand Dealer,1
2020,September,Ararat,3 Other,33 Retail,335 Supermarket,26
2020,September,Ararat,3 Other,33 Retail,336 Department Store,4
2020,September,Ararat,3 Other,33 Retail,338 Car Sales Yard,3
2020,September,Ararat,3 Other,33 Retail,339 Milkbar,1
2020,September,Ararat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,3
2020,September,Ararat,3 Other,36 Manufacturing,361 Factory,2
2020,September,Ararat,3 Other,36 Manufacturing,362 Any Manufacturing,3
2020,September,Ararat,3 Other,37 Agricultural,371 Farmland/Agricultural,27
2020,September,Ararat,3 Other,37 Agricultural,373 Other Agricultural,4
2020,September,Ararat,3 Other,38 Recreational,381 Licenced Premises,14
2020,September,Ararat,3 Other,38 Recreational,383 Cinema,1
2020,September,Ararat,3 Other,38 Recreational,384 Sport Area/Facility,6
2020,September,Ararat,3 Other,38 Recreational,386 Other Rec./Sports,5
2020,September,Ararat,3 Other,39 Other location,392 Other Location (Not Elsewhere),17
2020,September,Ballarat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,251
2020,September,Ballarat,1 Residential,11 Dwelling - private,112 House,"2,166"
2020,September,Ballarat,1 Residential,11 Dwelling - private,113 Bungalow,7
2020,September,Ballarat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,9
2020,September,Ballarat,1 Residential,11 Dwelling - private,115 Houseboat,2
2020,September,Ballarat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,26
2020,September,Ballarat,1 Residential,11 Dwelling - private,117 Farm House,5
2020,September,Ballarat,1 Residential,12 Dwelling  - non-private,121 Boarding House,20
2020,September,Ballarat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2020,September,Ballarat,1 Residential,12 Dwelling  - non-private,123 Guest House,10
2020,September,Ballarat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,14
2020,September,Ballarat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,36
2020,September,Ballarat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,8
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,132 Backyard,67
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,133 Frontyard,192
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,134 Garage,80
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,135 Shed,58
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,42
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),33
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,415
2020,September,Ballarat,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,9
2020,September,Ballarat,2 Community,21 Education,211 School,43
2020,September,Ballarat,2 Community,21 Education,212 School Grounds,31
2020,September,Ballarat,2 Community,21 Education,213 Other Educational,24
2020,September,Ballarat,2 Community,22 Health,221 Hospital,31
2020,September,Ballarat,2 Community,22 Health,222 Medical Centre,7
2020,September,Ballarat,2 Community,22 Health,224 Other Health,15
2020,September,Ballarat,2 Community,23 Religious,231 Church,8
2020,September,Ballarat,2 Community,23 Religious,232 Other religious,1
2020,September,Ballarat,2 Community,24 Public Transport,241 Train,4
2020,September,Ballarat,2 Community,24 Public Transport,242 Train Station,63
2020,September,Ballarat,2 Community,24 Public Transport,243 Railway Carpark,46
2020,September,Ballarat,2 Community,24 Public Transport,245 Bus/Bus Stop,38
2020,September,Ballarat,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2020,September,Ballarat,2 Community,25 Other Transport,251 Private Car,14
2020,September,Ballarat,2 Community,25 Other Transport,252 Airfield,4
2020,September,Ballarat,2 Community,25 Other Transport,255 Carpark (Single Level),267
2020,September,Ballarat,2 Community,25 Other Transport,256 Carpark (Multi Level),20
2020,September,Ballarat,2 Community,25 Other Transport,257 Other Transport Type/Area,14
2020,September,Ballarat,2 Community,26 Justice,261 Police Station,56
2020,September,Ballarat,2 Community,26 Justice,262 Court,135
2020,September,Ballarat,2 Community,26 Justice,265 Other Justice Facility,2
2020,September,Ballarat,2 Community,27 Open Space,271 Parkland/Reserve,95
2020,September,Ballarat,2 Community,27 Open Space,272 Rural,15
2020,September,Ballarat,2 Community,27 Open Space,273 Vacant Block,9
2020,September,Ballarat,2 Community,27 Open Space,275 Other Open Space,42
2020,September,Ballarat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"1,563"
2020,September,Ballarat,2 Community,29 Other community location,291 Cemetery,3
2020,September,Ballarat,2 Community,29 Other community location,292 Civic Centre,2
2020,September,Ballarat,2 Community,29 Other community location,293 Gallery,1
2020,September,Ballarat,2 Community,29 Other community location,294 Car Wash,3
2020,September,Ballarat,3 Other,31 Admin/professional,311 Business Office,41
2020,September,Ballarat,3 Other,31 Admin/professional,312 Other Admin/Professional,13
2020,September,Ballarat,3 Other,32 Financial,321 Bank,18
2020,September,Ballarat,3 Other,32 Financial,324 Other Financial,1
2020,September,Ballarat,3 Other,33 Retail,331 Chemist/Pharmacy,22
2020,September,Ballarat,3 Other,33 Retail,3310 24Hr Convenience,23
2020,September,Ballarat,3 Other,33 Retail,3311 Restaurant/Fastfood,71
2020,September,Ballarat,3 Other,33 Retail,3312 Other Retail,267
2020,September,Ballarat,3 Other,33 Retail,332 Service Station,363
2020,September,Ballarat,3 Other,33 Retail,333 Jeweller,2
2020,September,Ballarat,3 Other,33 Retail,334 2nd Hand Dealer,4
2020,September,Ballarat,3 Other,33 Retail,335 Supermarket,162
2020,September,Ballarat,3 Other,33 Retail,336 Department Store,63
2020,September,Ballarat,3 Other,33 Retail,337 Shopping Complex,220
2020,September,Ballarat,3 Other,33 Retail,338 Car Sales Yard,37
2020,September,Ballarat,3 Other,33 Retail,339 Milkbar,7
2020,September,Ballarat,3 Other,34 Wholesale,341 Any Wholesale,5
2020,September,Ballarat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,27
2020,September,Ballarat,3 Other,36 Manufacturing,361 Factory,29
2020,September,Ballarat,3 Other,36 Manufacturing,362 Any Manufacturing,6
2020,September,Ballarat,3 Other,37 Agricultural,371 Farmland/Agricultural,18
2020,September,Ballarat,3 Other,37 Agricultural,372 Orchard,1
2020,September,Ballarat,3 Other,37 Agricultural,373 Other Agricultural,5
2020,September,Ballarat,3 Other,38 Recreational,381 Licenced Premises,76
2020,September,Ballarat,3 Other,38 Recreational,383 Cinema,1
2020,September,Ballarat,3 Other,38 Recreational,384 Sport Area/Facility,35
2020,September,Ballarat,3 Other,38 Recreational,385 Gaming Venue,11
2020,September,Ballarat,3 Other,38 Recreational,386 Other Rec./Sports,36
2020,September,Ballarat,3 Other,39 Other location,391 Massage Parlour/Brothel,1
2020,September,Ballarat,3 Other,39 Other location,392 Other Location (Not Elsewhere),102
2020,September,Ballarat,3 Other,39 Other location,393 Construction Site,29
2020,September,Ballarat,3 Other,39 Other location,394 Veterinary Clinic,1
2020,September,Banyule,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,360
2020,September,Banyule,1 Residential,11 Dwelling - private,112 House,"1,726"
2020,September,Banyule,1 Residential,11 Dwelling - private,113 Bungalow,4
2020,September,Banyule,1 Residential,11 Dwelling - private,116 Ministry Of Housing,43
2020,September,Banyule,1 Residential,11 Dwelling - private,117 Farm House,2
2020,September,Banyule,1 Residential,12 Dwelling  - non-private,121 Boarding House,10
2020,September,Banyule,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2020,September,Banyule,1 Residential,12 Dwelling  - non-private,123 Guest House,2
2020,September,Banyule,1 Residential,12 Dwelling  - non-private,124 Nursing Home,19
2020,September,Banyule,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,11
2020,September,Banyule,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,18
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,132 Backyard,43
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,133 Frontyard,180
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,134 Garage,52
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,135 Shed,13
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,14
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),23
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,390
2020,September,Banyule,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,57
2020,September,Banyule,2 Community,21 Education,211 School,40
2020,September,Banyule,2 Community,21 Education,212 School Grounds,33
2020,September,Banyule,2 Community,21 Education,213 Other Educational,4
2020,September,Banyule,2 Community,22 Health,221 Hospital,93
2020,September,Banyule,2 Community,22 Health,222 Medical Centre,18
2020,September,Banyule,2 Community,22 Health,223 Dental,3
2020,September,Banyule,2 Community,22 Health,224 Other Health,21
2020,September,Banyule,2 Community,23 Religious,231 Church,4
2020,September,Banyule,2 Community,23 Religious,232 Other religious,1
2020,September,Banyule,2 Community,24 Public Transport,241 Train,6
2020,September,Banyule,2 Community,24 Public Transport,242 Train Station,127
2020,September,Banyule,2 Community,24 Public Transport,243 Railway Carpark,44
2020,September,Banyule,2 Community,24 Public Transport,245 Bus/Bus Stop,27
2020,September,Banyule,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2020,September,Banyule,2 Community,24 Public Transport,249 Taxi,6
2020,September,Banyule,2 Community,25 Other Transport,251 Private Car,17
2020,September,Banyule,2 Community,25 Other Transport,255 Carpark (Single Level),103
2020,September,Banyule,2 Community,25 Other Transport,256 Carpark (Multi Level),24
2020,September,Banyule,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2020,September,Banyule,2 Community,26 Justice,261 Police Station,215
2020,September,Banyule,2 Community,26 Justice,262 Court,350
2020,September,Banyule,2 Community,26 Justice,264 Youth Training Centre,2
2020,September,Banyule,2 Community,26 Justice,265 Other Justice Facility,10
2020,September,Banyule,2 Community,26 Justice,269 Other Justice (nec),3
2020,September,Banyule,2 Community,27 Open Space,271 Parkland/Reserve,95
2020,September,Banyule,2 Community,27 Open Space,272 Rural,1
2020,September,Banyule,2 Community,27 Open Space,273 Vacant Block,1
2020,September,Banyule,2 Community,27 Open Space,275 Other Open Space,4
2020,September,Banyule,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"1,341"
2020,September,Banyule,2 Community,29 Other community location,292 Civic Centre,7
2020,September,Banyule,2 Community,29 Other community location,294 Car Wash,3
2020,September,Banyule,3 Other,31 Admin/professional,311 Business Office,20
2020,September,Banyule,3 Other,31 Admin/professional,312 Other Admin/Professional,11
2020,September,Banyule,3 Other,32 Financial,321 Bank,5
2020,September,Banyule,3 Other,32 Financial,324 Other Financial,1
2020,September,Banyule,3 Other,33 Retail,331 Chemist/Pharmacy,53
2020,September,Banyule,3 Other,33 Retail,3310 24Hr Convenience,10
2020,September,Banyule,3 Other,33 Retail,3311 Restaurant/Fastfood,69
2020,September,Banyule,3 Other,33 Retail,3312 Other Retail,158
2020,September,Banyule,3 Other,33 Retail,332 Service Station,119
2020,September,Banyule,3 Other,33 Retail,334 2nd Hand Dealer,12
2020,September,Banyule,3 Other,33 Retail,335 Supermarket,149
2020,September,Banyule,3 Other,33 Retail,336 Department Store,20
2020,September,Banyule,3 Other,33 Retail,337 Shopping Complex,178
2020,September,Banyule,3 Other,33 Retail,338 Car Sales Yard,4
2020,September,Banyule,3 Other,33 Retail,339 Milkbar,11
2020,September,Banyule,3 Other,35 Warehousing/storage,351 Warehousing/Storage,18
2020,September,Banyule,3 Other,36 Manufacturing,361 Factory,24
2020,September,Banyule,3 Other,36 Manufacturing,362 Any Manufacturing,8
2020,September,Banyule,3 Other,37 Agricultural,373 Other Agricultural,1
2020,September,Banyule,3 Other,38 Recreational,381 Licenced Premises,47
2020,September,Banyule,3 Other,38 Recreational,382 Tab,2
2020,September,Banyule,3 Other,38 Recreational,384 Sport Area/Facility,32
2020,September,Banyule,3 Other,38 Recreational,385 Gaming Venue,4
2020,September,Banyule,3 Other,38 Recreational,386 Other Rec./Sports,20
2020,September,Banyule,3 Other,39 Other location,391 Massage Parlour/Brothel,6
2020,September,Banyule,3 Other,39 Other location,392 Other Location (Not Elsewhere),71
2020,September,Banyule,3 Other,39 Other location,393 Construction Site,20
2020,September,Banyule,3 Other,39 Other location,394 Veterinary Clinic,1
2020,September,Bass Coast,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,57
2020,September,Bass Coast,1 Residential,11 Dwelling - private,112 House,752
2020,September,Bass Coast,1 Residential,11 Dwelling - private,113 Bungalow,4
2020,September,Bass Coast,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,16
2020,September,Bass Coast,1 Residential,11 Dwelling - private,115 Houseboat,1
2020,September,Bass Coast,1 Residential,11 Dwelling - private,117 Farm House,16
2020,September,Bass Coast,1 Residential,12 Dwelling  - non-private,122 Holiday Home,47
2020,September,Bass Coast,1 Residential,12 Dwelling  - non-private,123 Guest House,5
2020,September,Bass Coast,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,17
2020,September,Bass Coast,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,1
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,1310 Farm Building,11
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,132 Backyard,21
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,133 Frontyard,85
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,134 Garage,22
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,135 Shed,18
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,19
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),3
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,63
2020,September,Bass Coast,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,4
2020,September,Bass Coast,2 Community,21 Education,211 School,28
2020,September,Bass Coast,2 Community,21 Education,212 School Grounds,2
2020,September,Bass Coast,2 Community,21 Education,213 Other Educational,5
2020,September,Bass Coast,2 Community,22 Health,221 Hospital,9
2020,September,Bass Coast,2 Community,22 Health,222 Medical Centre,3
2020,September,Bass Coast,2 Community,22 Health,224 Other Health,3
2020,September,Bass Coast,2 Community,23 Religious,231 Church,1
2020,September,Bass Coast,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2020,September,Bass Coast,2 Community,25 Other Transport,251 Private Car,2
2020,September,Bass Coast,2 Community,25 Other Transport,253 Boat,4
2020,September,Bass Coast,2 Community,25 Other Transport,254 Dock/Wharf,1
2020,September,Bass Coast,2 Community,25 Other Transport,255 Carpark (Single Level),28
2020,September,Bass Coast,2 Community,25 Other Transport,257 Other Transport Type/Area,3
2020,September,Bass Coast,2 Community,26 Justice,261 Police Station,11
2020,September,Bass Coast,2 Community,26 Justice,262 Court,6
2020,September,Bass Coast,2 Community,26 Justice,265 Other Justice Facility,1
2020,September,Bass Coast,2 Community,27 Open Space,271 Parkland/Reserve,21
2020,September,Bass Coast,2 Community,27 Open Space,272 Rural,8
2020,September,Bass Coast,2 Community,27 Open Space,273 Vacant Block,2
2020,September,Bass Coast,2 Community,27 Open Space,274 Beach Foreshore,20
2020,September,Bass Coast,2 Community,27 Open Space,275 Other Open Space,5
2020,September,Bass Coast,2 Community,27 Open Space,276 Beach Car Park,13
2020,September,Bass Coast,2 Community,28 Street/footpath,281 Street/Lane/Footpath,231
2020,September,Bass Coast,2 Community,29 Other community location,292 Civic Centre,2
2020,September,Bass Coast,2 Community,29 Other community location,294 Car Wash,1
2020,September,Bass Coast,3 Other,31 Admin/professional,311 Business Office,4
2020,September,Bass Coast,3 Other,31 Admin/professional,312 Other Admin/Professional,3
2020,September,Bass Coast,3 Other,33 Retail,331 Chemist/Pharmacy,1
2020,September,Bass Coast,3 Other,33 Retail,3311 Restaurant/Fastfood,15
2020,September,Bass Coast,3 Other,33 Retail,3312 Other Retail,52
2020,September,Bass Coast,3 Other,33 Retail,332 Service Station,39
2020,September,Bass Coast,3 Other,33 Retail,334 2nd Hand Dealer,1
2020,September,Bass Coast,3 Other,33 Retail,335 Supermarket,44
2020,September,Bass Coast,3 Other,33 Retail,336 Department Store,7
2020,September,Bass Coast,3 Other,33 Retail,337 Shopping Complex,18
2020,September,Bass Coast,3 Other,33 Retail,339 Milkbar,2
2020,September,Bass Coast,3 Other,35 Warehousing/storage,351 Warehousing/Storage,6
2020,September,Bass Coast,3 Other,36 Manufacturing,361 Factory,2
2020,September,Bass Coast,3 Other,37 Agricultural,371 Farmland/Agricultural,12
2020,September,Bass Coast,3 Other,37 Agricultural,373 Other Agricultural,3
2020,September,Bass Coast,3 Other,38 Recreational,381 Licenced Premises,22
2020,September,Bass Coast,3 Other,38 Recreational,384 Sport Area/Facility,9
2020,September,Bass Coast,3 Other,38 Recreational,385 Gaming Venue,3
2020,September,Bass Coast,3 Other,38 Recreational,386 Other Rec./Sports,12
2020,September,Bass Coast,3 Other,39 Other location,392 Other Location (Not Elsewhere),22
2020,September,Bass Coast,3 Other,39 Other location,393 Construction Site,12
2020,September,Bass Coast,3 Other,39 Other location,394 Veterinary Clinic,1
2020,September,Baw Baw,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,65
2020,September,Baw Baw,1 Residential,11 Dwelling - private,112 House,993
2020,September,Baw Baw,1 Residential,11 Dwelling - private,113 Bungalow,8
2020,September,Baw Baw,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,32
2020,September,Baw Baw,1 Residential,11 Dwelling - private,116 Ministry Of Housing,4
2020,September,Baw Baw,1 Residential,11 Dwelling - private,117 Farm House,43
2020,September,Baw Baw,1 Residential,12 Dwelling  - non-private,121 Boarding House,1
2020,September,Baw Baw,1 Residential,12 Dwelling  - non-private,124 Nursing Home,2
2020,September,Baw Baw,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,25
2020,September,Baw Baw,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,13
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,1310 Farm Building,15
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,132 Backyard,31
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,133 Frontyard,103
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,134 Garage,40
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,135 Shed,53
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,19
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),11
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,205
2020,September,Baw Baw,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,7
2020,September,Baw Baw,2 Community,21 Education,211 School,31
2020,September,Baw Baw,2 Community,21 Education,212 School Grounds,13
2020,September,Baw Baw,2 Community,21 Education,213 Other Educational,4
2020,September,Baw Baw,2 Community,22 Health,221 Hospital,7
2020,September,Baw Baw,2 Community,22 Health,222 Medical Centre,11
2020,September,Baw Baw,2 Community,22 Health,223 Dental,1
2020,September,Baw Baw,2 Community,22 Health,224 Other Health,7
2020,September,Baw Baw,2 Community,23 Religious,231 Church,5
2020,September,Baw Baw,2 Community,24 Public Transport,241 Train,3
2020,September,Baw Baw,2 Community,24 Public Transport,242 Train Station,35
2020,September,Baw Baw,2 Community,24 Public Transport,243 Railway Carpark,19
2020,September,Baw Baw,2 Community,24 Public Transport,245 Bus/Bus Stop,2
2020,September,Baw Baw,2 Community,24 Public Transport,246 Depot/Terminal,1
2020,September,Baw Baw,2 Community,24 Public Transport,249 Taxi,3
2020,September,Baw Baw,2 Community,25 Other Transport,251 Private Car,13
2020,September,Baw Baw,2 Community,25 Other Transport,255 Carpark (Single Level),59
2020,September,Baw Baw,2 Community,25 Other Transport,256 Carpark (Multi Level),2
2020,September,Baw Baw,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2020,September,Baw Baw,2 Community,26 Justice,261 Police Station,28
2020,September,Baw Baw,2 Community,26 Justice,262 Court,1
2020,September,Baw Baw,2 Community,27 Open Space,271 Parkland/Reserve,94
2020,September,Baw Baw,2 Community,27 Open Space,272 Rural,17
2020,September,Baw Baw,2 Community,27 Open Space,273 Vacant Block,4
2020,September,Baw Baw,2 Community,27 Open Space,275 Other Open Space,25
2020,September,Baw Baw,2 Community,28 Street/footpath,281 Street/Lane/Footpath,787
2020,September,Baw Baw,2 Community,29 Other community location,291 Cemetery,3
2020,September,Baw Baw,2 Community,29 Other community location,292 Civic Centre,4
2020,September,Baw Baw,2 Community,29 Other community location,293 Gallery,1
2020,September,Baw Baw,2 Community,29 Other community location,294 Car Wash,7
